rule_id,antecedent_1,antecedent_2,antecedent_3,antecedent_4,operator,consequence,response,weight,priority,rule_type
R01,mu_origin_queue_low,mu_berth_available,,,MIN,Normal,NO_INTERVENTION,1.0,10,SPECIALIZED
R02,mu_destination_queue_low,mu_berth_available,,,MIN,Watch,MAINTAIN_SPEED,0.8,20,SPECIALIZED
R03,mu_origin_queue_medium,mu_berth_available,,,MIN,Warning,DEPART_NOW,1.0,60,SPECIALIZED
R04,mu_origin_queue_high,mu_berth_available,,,MIN,Warning,DEPART_NOW,1.0,70,SPECIALIZED
R05,mu_berth_unavailable,mu_wait_medium,,,MIN,Critical,HOLD_DEPARTURE,1.0,80,SPECIALIZED
R06,mu_berth_unavailable,mu_wait_long,,,MIN,Critical,REDUCE_SPEED,1.0,80,SPECIALIZED
R07,mu_origin_queue_high,mu_service_gap_long,,,MIN,Warning,INCREASE_SERVICE_PRIORITY,0.9,50,SPECIALIZED
R08,mu_destination_queue_high,mu_wait_long,,,MIN,Warning,RESCHEDULE_HEADWAY,0.85,40,SPECIALIZED
R09,mu_origin_queue_critical,mu_service_gap_long,mu_capacity_shortfall_high,,MIN,Critical,ADD_VESSEL,1.0,100,SPECIALIZED
R10,mu_confidence_low,mu_origin_queue_high,,,MIN,Critical,ALERT_OPERATOR,1.0,90,SPECIALIZED
R11,mu_confidence_low,mu_berth_unavailable,,,MIN,Critical,ALERT_OPERATOR,1.0,95,SPECIALIZED
R12,mu_origin_queue_low,,,,MIN,Normal,NO_INTERVENTION,0.10,1,FALLBACK
R13,mu_origin_queue_medium,,,,MIN,Watch,ALERT_OPERATOR,0.10,2,FALLBACK
R14,mu_origin_queue_high,,,,MIN,Warning,DEPART_NOW,0.10,3,FALLBACK
R15,mu_origin_queue_critical,,,,MIN,Critical,ADD_VESSEL,0.10,4,FALLBACK
